
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006638                       # Number of seconds simulated (Second)
simTicks                                   6637870000                       # Number of ticks simulated (Tick)
finalTick                                  6637870000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     35.61                       # Real time elapsed on the host (Second)
hostTickRate                                186365070                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2269508                       # Number of bytes of host memory used (Byte)
simInsts                                     27217481                       # Number of instructions simulated (Count)
simOps                                       27217528                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   764141                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     764140                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         13275741                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.487765                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.050167                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        27270021                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      221                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       27248508                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    134                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                52713                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             40239                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  98                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            13226967                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.060072                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.532736                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6141152     46.43%     46.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1179512      8.92%     55.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1293585      9.78%     65.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1380899     10.44%     75.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    608827      4.60%     80.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    670955      5.07%     85.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    881453      6.66%     91.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    304344      2.30%     94.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    766240      5.79%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              13226967                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   13533      0.89%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     31      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       6      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 2      0.00%      0.89% # attempts to use FU when none available (Count)
